2222 45693
1049 1768 880
416 836 7186
309 32 5912
1538 455 8556
1274 1439 8880
1945 1995 5124
1370 339 7153
211 1576 5209
1052 902 6369
964 316 2006
153 1410 222
239 240 1555
502 957 8791
2130 964 4545
528 1834 3298
1720 16 2142
1645 1701 3896
672 1359 2885
1021 1225 7436
530 1514 8380
741 1531 1037
558 595 7382
28 112 2212
1040 1410 4994
868 84 5645
1632 861 1818
1136 1859 7369
1818 1094 7953
547 1555 2914
1784 2095 4281
1302 543 4734
1679 904 4053
894 84 4844
560 397 345
1161 384 9116
1441 1009 3126
1597 775 4985
623 2140 2908
524 169 1674
1647 1670 5250
1823 473 3007
186 994 911
1741 1773 5682
1057 157 5995
1781 473 6265
966 702 6553
878 981 6021
2192 220 4906
1158 1853 2405
1082 963 3717
690 557 1589
1437 329 3751
2047 886 6839
1796 846 2213
1551 1990 5690
1329 819 4795
2111 322 5758
308 1476 7132
867 900 1046
47 1929 7053
1156 1220 9597
1254 1317 5695
1892 491 9723
1344 1636 2350
714 1288 3693
630 1897 1825
1241 2181 5829
1428 579 2938
1894 1529 7527
1240 661 3744
142 2020 4121
773 526 7715
1841 873 2486
2137 1284 7769
2198 1471 8804
1783 719 6531
13 1422 8049
1191 356 8940
1821 1432 1496
1608 1246 6710
2167 1687 414
843 1836 1908
404 1304 4232
1578 1681 5578
1314 758 522
2177 281 5054
175 1150 333
841 1422 828
784 64 238
1138 242 6300
1169 1453 2520
251 666 1448
249 1440 6453
347 1457 8222
1445 265 815
1001 1023 1397
1103 45 9905
1615 1711 6949
1187 1854 9037
750 483 1763
1417 1564 4436
616 1468 1021
545 1299 8986
688 370 5594
2166 507 866
487 929 4702
302 1127 3601
1991 217 488
195 1603 4059
1793 2197 2342
1272 1862 56
906 1442 4863
958 1131 6944
819 1594 1613
852 457 4401
1054 1288 9825
1838 215 7412
427 368 5438
823 1383 4854
1639 815 6416
180 1789 298
1374 1283 5110
1433 1754 8012
2104 464 4846
2179 232 6038
1720 1727 8723
1083 1411 4118
1518 455 4710
1526 938 9475
1678 557 8947
2115 1059 2481
919 471 9630
894 30 5356
990 2156 3423
281 1965 7768
1945 1416 1922
142 1092 5728
2014 598 667
989 1137 6837
1147 1719 198
1359 2068 5077
324 951 8324
1647 1560 4016
1603 1843 4815
104 1046 6661
369 2 366
513 2111 2492
585 497 3735
558 640 4511
2174 639 8896
2023 177 644
1843 258 1379
1971 2081 8333
1385 1130 3077
661 1697 3356
1763 472 9131
1797 658 1339
1343 1952 9369
441 196 6827
416 804 7774
1865 1481 704
702 770 69
1011 144 7726
1270 1119 3830
446 612 3981
1998 1266 7600
979 318 1311
1656 1673 5591
1887 1317 7370
1678 1650 6620
895 31 6941
1718 982 8760
1067 1425 9801
1395 785 7841
1218 1962 8045
2065 318 4532
2013 1835 9019
518 1865 7409
606 2064 4053
714 1019 2857
1859 1845 4344
1312 1187 6192
164 1738 9360
107 518 2354
1734 509 3347
214 677 5399
1311 185 2885
2105 1224 8474
2066 476 1041
1930 1308 8716
1182 2123 5978
1080 1612 6295
1905 1133 9106
721 1122 9113
417 796 2926
178 678 8393
1260 737 3281
889 1664 399
701 2121 1740
1423 2047 7078
2219 829 4143
803 50 2445
238 935 1107
1734 141 2459
1956 94 4821
1653 415 5818
1448 428 7130
1846 2065 8601
901 1131 6254
1646 318 5891
1746 1142 840
1229 2190 5746
1298 2022 3483
305 491 7675
1059 2207 9097
1854 661 6583
1071 1506 9976
2105 1197 5878
289 1769 179
1173 1149 1896
1551 773 5973
1438 840 2441
969 1518 240
487 2193 8143
912 1276 2983
1430 795 5401
2105 739 5247
1728 1564 8432
1481 1588 7349
1709 554 693
840 243 1099
1277 10 3081
103 908 2216
250 279 1370
463 501 4180
1835 2086 4363
1040 2149 2019
1058 1284 1642
558 681 5988
1556 158 523
1352 1749 9240
1144 972 480
1476 1481 7313
1623 1069 4271
1502 1845 7587
874 1679 2684
2082 1899 3752
491 2012 8304
1250 688 9849
1941 2176 4543
1378 143 5091
948 2075 6096
1879 618 8432
405 1015 6379
2036 1498 9529
1348 242 400
506 54 7819
1794 2134 4706
827 448 3211
1069 504 6618
2147 1770 5189
1702 102 8208
522 1784 2295
1766 1603 1902
548 789 8675
2184 500 9790
1231 1190 189
840 1427 2819
1939 449 783
810 1972 4829
1763 575 6070
1531 994 4740
1302 2221 3159
173 1716 597
1299 1711 6156
1740 1114 5372
2094 1667 6797
929 1408 3136
1344 1483 972
1946 201 9544
2145 1644 880
343 1627 7998
1825 115 9807
392 778 5919
629 817 5409
2141 1801 6527
53 1207 9552
509 1241 1864
384 1118 2280
1099 654 6096
1628 957 6352
2151 1001 1809
1687 443 2061
1849 547 7356
1441 1447 4989
1944 1634 2320
2214 1169 3387
1623 314 935
1281 1912 4840
1676 885 8432
1023 262 3063
1281 2002 2016
1709 1610 2125
814 1715 7665
703 764 4663
1492 1964 1900
595 2063 2885
664 2058 6533
815 1220 6566
237 1393 3106
2177 2063 5999
1682 102 8922
1338 1906 8220
1511 1693 4464
1036 1551 5909
1516 1000 625
1668 1653 3730
2222 1869 8640
881 220 402
1513 2166 5378
164 1925 220
450 1152 8959
1121 1006 3848
855 1253 1570
738 882 1833
1930 2169 2515
153 1877 1896
1075 1595 3339
1616 242 1612
1568 1619 5824
888 1185 7027
83 1749 4990
1881 820 517
803 1410 62
624 1792 1076
27 1109 4927
636 1216 2498
2121 847 6913
345 2046 7720
504 1584 3525
120 986 9783
1620 750 8943
1777 232 6797
241 150 6757
1686 542 6646
428 1505 6143
1470 1427 3983
11 289 4018
749 1167 3697
706 686 9259
1499 2014 74
1758 1928 9947
415 1005 9810
182 707 3659
1209 1466 2353
1438 1831 9560
901 1613 7828
1993 562 2116
629 876 5573
2187 226 6363
486 313 2691
487 1622 7940
533 258 8456
887 405 2520
493 125 5462
1501 188 9668
2121 1703 5736
1984 2117 6665
1701 287 8694
230 1093 9442
149 1688 4657
1792 92 4825
1808 1371 8127
230 1104 2674
1206 1987 4275
1426 1772 8978
61 2206 3676
419 116 8039
1521 1050 1531
1002 937 1325
909 81 4648
150 1268 5515
1012 1267 3109
684 15 109
1253 407 6919
1549 682 4128
699 179 9974
1883 1120 1521
1840 664 8331
1934 1223 5912
1624 1747 3727
1336 223 9180
2129 35 2987
1409 508 5328
2128 373 9717
1409 1753 4299
371 1480 8374
387 824 2141
443 1187 1781
1327 926 5403
1185 1265 494
67 229 6234
1499 1373 7804
2159 1675 2636
1403 2193 1736
1300 1675 2295
1806 234 4589
1085 884 2894
1664 1522 1545
669 1230 5990
2165 2195 9779
908 93 878
1245 934 3475
1227 1569 6364
570 353 4030
1319 1257 502
1736 1382 9141
1465 528 7865
1944 1125 6738
1751 1446 8710
1443 1373 8698
1801 1094 8237
2043 389 8659
1241 568 3323
1743 61 1392
1031 1324 7217
2014 230 2580
275 12 9634
1824 757 1073
237 1458 6934
258 1620 5094
409 2202 7377
1856 812 2854
613 1777 677
2134 189 6805
939 2055 2475
1672 987 5536
1336 539 8059
1979 270 2902
1715 58 1766
896 455 8825
1108 1409 6551
1125 131 3381
826 176 7955
915 564 2496
415 1465 2474
381 792 7666
1669 1229 384
1206 1511 7722
1659 1535 7748
744 1266 4995
518 1915 8054
1013 837 9068
245 218 9167
805 898 764
92 1858 9586
303 340 9902
727 952 9009
1775 1022 499
51 179 2363
947 1067 2818
1276 1662 4906
1000 2014 7783
910 573 1975
776 561 4395
1318 408 4686
151 2030 3993
42 312 9362
181 180 241
1828 736 9289
1336 1932 3002
1479 2155 7444
1499 3 5513
1727 692 2454
1851 1156 779
1538 2004 6246
918 236 9193
2048 2148 4963
544 1350 2636
443 528 3353
218 1705 2961
1727 1569 5835
808 1214 7924
39 1632 5403
1489 1806 9631
285 351 2472
1390 1253 5095
987 2033 7871
361 661 4050
770 1583 6397
1585 2073 876
901 2135 1600
1737 563 7494
2104 1432 6005
762 331 9973
111 1020 8282
256 704 4856
1440 1103 8851
2 1225 8866
1565 425 9868
2045 1958 6359
26 978 845
2054 1769 6358
431 453 4790
1618 389 1523
819 441 3566
373 1420 8403
1801 1015 1364
1750 561 4507
1024 815 8192
895 1279 649
1889 1675 1612
1492 1549 4679
1141 1087 2636
72 1594 6225
953 778 5378
1482 578 1485
568 1003 7847
1991 549 3055
18 313 5997
333 485 2999
271 615 5009
911 251 9181
1504 1598 5373
1107 1024 4649
1244 378 1860
1869 97 4860
341 737 5956
1682 1308 6009
1478 1117 4542
1 1264 4301
392 2033 3478
952 272 8288
901 429 3764
1714 1411 1750
1845 93 9431
46 688 4757
636 820 717
1324 2011 6472
168 1149 5624
114 766 6642
517 2203 5887
2123 39 852
913 1531 8133
595 1353 3463
1375 2002 7425
888 2179 2101
1643 2205 678
319 837 9523
953 1446 8149
1450 712 1617
1309 93 8376
1197 1082 8553
283 985 2009
2049 1929 6593
464 1332 6511
1976 1877 9863
502 1538 5362
1397 966 9543
1512 965 643
1797 460 5834
1783 2187 5100
1345 1311 3606
1778 1917 3452
975 859 5990
405 1381 8249
816 1346 6101
1844 821 947
1725 261 1883
2177 86 5021
1365 1572 5797
1985 2024 7695
558 151 5178
1626 1632 8731
801 524 6346
1627 938 3377
1760 2116 5213
2087 971 8615
1643 769 1294
20 419 6212
75 359 9148
1445 1134 8096
306 2191 376
269 1027 9068
839 223 1125
1553 304 2289
1684 271 8547
526 482 594
501 1064 2492
112 1153 6235
207 2156 67
782 947 2770
1340 788 744
1942 2002 8169
2184 625 4970
1273 287 2410
1276 1233 6774
1942 956 7193
1140 899 2112
120 829 8583
239 597 5040
2016 1103 2779
1100 1632 1736
429 1498 5285
1053 143 5294
79 2010 4209
7 1216 5751
656 1942 5306
2111 703 3637
1826 1624 4234
801 1170 3351
84 1847 1752
525 159 3254
931 1005 9044
2130 771 9905
2014 1847 230
1147 47 6373
1635 1661 7428
514 929 4241
323 1471 626
1083 114 7331
802 161 9820
418 359 9403
402 340 8045
649 493 9310
508 61 5217
1144 2142 9331
1944 997 5659
582 611 8300
1979 1644 6639
1642 150 994
937 352 4141
220 1656 5600
394 1600 8579
1565 272 5484
754 1032 805
1788 582 5003
1208 139 8060
1470 694 6934
1924 1937 8558
138 2037 5228
1066 1516 3398
781 1820 2780
1956 1118 5757
1635 1727 2907
38 1915 1436
720 1853 2280
386 1800 8464
567 791 3399
281 373 7616
1789 1040 9606
1256 716 3770
733 2043 1897
1080 755 8320
1708 807 2476
1412 1411 6064
600 2204 2968
1565 1245 7616
1124 1284 4703
936 596 5595
813 615 3444
282 59 1240
1395 1655 9992
891 1 3763
1536 1149 5047
328 507 8562
1605 1682 2525
541 795 2908
1264 1986 5197
2010 312 3385
1848 622 9443
972 121 2440
1111 137 1245
1189 1798 2359
1750 257 73
481 9 2320
283 672 6536
1516 1430 644
2157 6 5736
1075 1479 4808
953 1326 6311
1638 48 5264
1669 2022 5838
1597 1345 9399
609 1705 3034
2117 1119 6084
967 2209 5889
1068 725 3192
1001 1306 6595
1938 375 7330
627 282 4984
683 1883 200
284 1606 3690
2125 1233 6783
1908 1440 2301
1860 430 3236
496 1037 897
2081 1737 5537
2009 1054 8422
130 1341 7350
286 1755 7296
29 1651 9475
1992 428 5451
119 1193 2420
1029 275 2180
1990 1805 729
1535 1662 1034
340 2096 5629
1164 1825 2009
867 1385 8712
431 392 7981
2097 348 9913
2101 808 9232
619 446 3471
480 387 6933
43 1224 9204
542 124 7250
202 306 8291
2222 1159 8343
570 1876 9087
1430 1614 5930
500 410 387
311 1362 6043
532 1956 2604
978 1877 3561
1955 1262 3936
1992 147 958
918 2125 7724
2053 747 9739
1310 1654 3327
699 614 7173
1403 716 7246
293 2037 4656
1082 54 6662
26 1909 7514
507 321 2462
1483 1434 9230
1158 1115 8632
769 2035 2331
638 587 5663
326 1197 6138
774 1104 8550
1505 2029 4324
1916 1233 8271
747 474 6445
721 358 3482
723 666 1702
1700 384 3086
1988 499 4156
2051 1672 7322
1970 2173 3993
660 1148 3859
843 1597 2169
2051 823 495
1180 1688 757
280 962 1107
336 691 8862
1284 1517 8248
513 520 2294
1599 1181 9495
1435 802 6384
725 583 2007
1077 1562 1493
1233 89 7377
396 2041 7800
463 1308 7935
895 444 6859
456 1427 8962
516 554 4597
559 804 8495
771 1746 5224
180 195 1539
1352 1133 6262
561 1094 4023
1272 2222 8233
1754 1415 2230
1390 1157 3149
697 1524 4158
7 1871 8575
2076 893 6289
1004 2064 1749
2002 964 9828
643 872 9076
518 19 6975
1208 376 2588
1415 1504 3553
2144 115 5088
400 1562 7563
927 1684 3381
1646 730 1362
2131 1597 4306
844 80 7361
1801 1114 9069
1619 3 4261
551 861 3906
1832 31 7754
770 1377 6245
1420 613 7641
2070 1683 5531
1221 328 3644
1381 775 2455
788 745 604
313 1656 1997
1109 2099 8661
940 907 9258
272 305 7913
547 1282 359
1840 1425 4106
128 1560 7945
1601 2158 4213
797 390 283
1831 150 1369
1964 1103 2905
705 1617 3245
290 1343 3492
81 348 7871
1287 295 3616
1469 1616 551
1266 1895 8538
2051 1125 6206
154 93 4809
1002 1216 8363
1504 1179 6478
1143 2058 7766
730 1750 5356
1541 1517 6292
196 424 5992
2131 541 8535
1928 1769 8739
1038 1472 9664
1829 401 2837
1656 855 5481
1100 7 9680
1288 2149 5049
77 1403 5158
1749 729 6352
1437 2110 5330
1014 56 5895
2203 2082 8923
135 2091 4440
628 528 3935
1134 675 3644
1511 5 390
1033 1354 7761
399 1882 3844
386 1665 9362
474 1220 8228
1257 760 2655
240 11 1008
617 993 5003
827 1304 8334
1556 1004 4504
98 1448 888
2078 1515 1998
868 313 8036
536 520 3939
354 2119 1387
1731 1038 9714
1941 1157 7619
642 639 9730
604 2018 3849
2115 2075 6861
921 1443 1386
400 1387 1476
1442 212 4241
614 545 7322
1721 2161 4380
81 713 5632
182 2143 7735
1868 2164 5321
1758 1524 3125
397 1896 4735
2066 693 1601
1203 934 3074
920 707 5333
1099 1496 7609
2046 970 766
2180 19 3396
2136 1068 2790
355 1776 753
340 1771 1768
1513 519 1429
1685 1871 4203
217 1203 9413
1594 1832 8352
831 715 5426
445 246 4139
457 1522 9500
79 1679 9579
1233 1092 396
2173 1265 691
1349 222 8179
951 2009 7346
1404 692 4964
1455 1860 5171
151 292 5053
1505 1972 3664
1997 339 8861
1162 1720 967
1408 1385 269
1172 2065 2315
1145 934 5685
1225 255 942
96 969 3946
1108 1668 1453
1558 111 7864
2081 1413 5504
383 1312 3799
2074 947 964
558 2091 4106
1959 2150 1857
338 1492 1622
33 669 6733
829 1762 2118
1905 981 5594
1973 2122 3936
262 1840 7095
729 1946 1455
1205 1886 8095
1197 1354 1786
1031 516 2923
1913 1969 2379
2142 2029 2660
1112 806 8350
1790 1168 7265
554 673 7359
1744 2115 8481
1002 1458 7916
1245 1737 4422
153 21 8100
1669 526 1885
1384 514 1780
321 581 8353
2182 2019 9404
667 1069 2800
1917 1719 8138
1826 1377 7676
1550 1125 3672
1241 450 8921
75 559 4575
1539 1100 5543
1653 683 1457
746 1205 9910
2212 1136 1599
584 2005 7231
568 153 7929
885 815 4715
208 549 9779
2217 723 5717
803 1427 6102
750 1948 9602
1184 1120 7691
1216 816 692
1512 674 4482
944 74 9161
1204 1286 8512
709 1940 8178
497 220 3130
1581 1733 5666
649 1570 510
2032 1768 79
134 635 2889
1060 480 2987
2108 261 2562
680 403 883
800 1044 3785
1705 948 4503
633 2089 9980
121 2091 8953
191 2033 3646
1042 2013 4301
1492 93 9819
1325 873 7377
2073 1506 9846
1455 498 4340
1923 2199 7304
1703 2205 5419
696 451 6073
114 102 6041
1981 847 9721
685 483 791
20 309 3281
588 61 2111
241 61 8108
276 175 5696
483 1366 2062
221 1787 158
1866 266 9093
400 1646 6353
1641 271 6433
1702 168 6352
688 178 5070
1376 853 6312
1042 1666 6042
1878 1261 9292
794 639 2769
2075 2047 1726
1187 1763 3641
1246 928 2958
523 2014 155
1067 978 2464
1640 1736 9206
1036 601 7958
1807 411 1800
1644 1384 8816
1321 1464 4149
2185 1151 5590
922 1057 5854
1204 69 1036
441 368 5010
474 61 9504
1698 437 3264
834 1290 7719
1113 1933 8668
1546 41 1828
1261 825 4120
13 1687 2334
2092 1326 6697
1889 674 8255
1078 299 5881
473 1074 9770
865 260 2383
101 1445 5592
654 83 6584
1430 629 9708
1889 2020 3986
1995 120 1885
1897 761 7310
598 1282 2911
941 2135 5095
83 759 658
421 1550 5588
313 1688 6495
1560 349 8540
772 2081 147
1771 8 5857
693 1442 7518
2 1292 2554
1114 1696 6151
1755 1859 2492
1674 1913 927
105 326 3952
1220 2014 6509
1505 1409 9442
549 605 4051
608 1533 5493
1776 263 1387
285 195 2540
2148 1136 8696
2063 2182 2337
951 946 6265
23 1439 7992
1272 214 7225
391 1167 2321
2013 2095 9829
1097 1523 5289
1030 639 2488
259 1693 6254
640 542 5641
1786 1952 2805
682 1572 6240
951 1857 608
1939 161 8575
1747 1895 1169
1597 1461 5327
2159 1559 2364
1432 565 2109
1856 589 8436
1662 812 4249
1811 499 688
1036 1259 7860
212 1435 8847
1784 343 6143
300 477 2287
590 62 8314
489 1826 8013
988 450 3685
390 1076 9685
626 1957 6449
333 23 8115
454 1600 2506
1554 731 3201
2191 588 935
1179 869 4158
34 755 7402
576 2206 5810
199 1905 9317
2167 2178 4284
233 703 4840
322 1012 7496
2074 924 1116
278 2149 114
320 571 3919
450 1589 688
839 1006 9169
2076 1989 6305
1257 1773 5551
1135 1009 275
1835 1570 8258
1581 1957 6172
1431 1 540
2205 1113 7795
812 1030 8633
1328 1474 2562
1530 2119 2361
1149 522 3324
1851 888 9686
495 208 9755
399 2190 5563
1060 1351 5403
1113 714 8913
167 1505 1914
2009 345 2145
661 207 7845
874 224 8182
957 435 4566
627 2056 6090
250 1923 8367
1942 170 6226
455 2076 9374
1976 1854 7767
1525 637 3037
1385 1951 786
1221 1427 8848
348 1360 5319
388 171 3170
1447 239 7939
1519 608 8605
1949 1848 9928
1711 417 716
327 269 9069
1241 858 1381
1900 2184 882
2134 1640 4209
411 1174 7377
195 974 5665
27 1085 9640
1440 94 4305
671 1499 6794
443 645 3257
1907 257 9599
1589 1996 849
130 99 3865
464 1913 3804
569 928 809
677 528 394
2200 1523 9072
1308 528 7246
371 2035 2419
1233 878 4980
582 148 2041
1341 653 7802
2139 1301 1793
1760 1952 4250
34 1595 9575
1785 359 3677
808 2217 8451
1770 592 131
1630 1132 2259
682 1910 644
1835 1042 7273
377 154 5314
1842 346 6394
144 1752 3066
827 862 1273
1119 425 5460
1062 2059 2938
945 1053 3497
1463 2109 8201
561 51 9932
1725 454 5796
896 2194 4467
1929 1175 5343
1396 655 5284
1078 2120 1379
1080 733 5445
1579 748 2925
1460 1355 6170
351 1938 2723
1893 367 128
314 383 6082
702 1147 9356
1740 2194 3350
46 1913 8269
1508 826 8755
255 2163 2874
1858 1209 6904
1684 916 2611
1684 1646 9473
1569 993 7775
762 1705 7803
647 487 8319
39 1283 4475
2041 1638 9412
319 368 5845
1055 2030 7160
800 502 8636
199 1689 2153
1902 1218 6750
837 2075 7781
1302 2086 2727
1376 529 6616
437 24 255
301 372 3669
1853 1822 7878
741 177 4576
1244 1369 2060
517 918 1154
1864 638 2762
2160 1568 3555
1990 2158 762
2037 1721 6714
495 1613 9923
465 687 8964
80 76 2324
432 934 5250
76 1938 3225
642 1274 5289
1379 1154 1264
1039 2194 5328
1895 2193 3115
1692 150 6657
1660 1115 6040
562 1919 5116
1694 909 9949
1219 297 2491
624 43 7947
1665 1491 4988
1843 1879 247
1637 1676 3771
1262 1600 8458
765 2032 1202
2218 431 6207
963 1793 241
1569 899 7351
831 1768 635
2193 304 5503
1397 1203 1584
927 171 2848
106 1730 2926
626 681 2587
265 470 9295
491 1604 5314
1360 585 8230
1869 2008 6083
583 756 7688
2205 770 3840
637 1974 7429
1494 800 6078
1691 249 1011
905 1167 3612
1698 2070 2526
372 339 3983
264 1590 5015
482 1629 6485
1373 1520 8790
777 2214 5577
387 72 8452
1866 1038 7303
1074 1870 2720
1108 1096 1205
2030 1314 7431
1381 1024 9018
1819 1248 5179
710 1568 9724
1011 604 9251
715 1804 3880
1533 967 4497
654 36 6424
1788 577 497
980 1985 4794
866 1088 7797
1048 1909 5852
933 1449 7340
1564 951 2885
1264 2062 5873
182 594 7644
376 863 8740
123 1193 935
519 1089 3955
842 1047 2159
1553 1170 3973
1736 87 4102
371 698 8970
1111 1838 4184
1050 1105 5002
2009 1585 8256
1458 277 298
1665 1824 4667
1075 676 3899
2064 685 9590
1317 2037 1889
1549 269 8388
256 938 1385
1938 1121 5817
47 659 5500
297 176 715
698 1734 6651
799 1784 8335
27 1024 35
1934 1048 8284
960 601 9646
1800 1695 3816
674 1818 3012
2149 1492 6155
1517 217 3957
1859 942 1777
1600 605 5895
141 939 2075
1549 129 7891
609 2049 7715
1360 1933 3047
665 625 7511
784 224 8969
1344 1300 9532
739 1415 7569
1930 958 66
1728 1800 6633
940 114 9907
1879 145 4339
1906 1108 4768
712 1075 8157
2044 880 6562
1017 1961 2651
1632 1072 8799
1016 2097 8876
1456 305 6100
268 389 5746
510 357 5416
1574 253 1923
595 476 6423
901 1334 2204
211 27 6583
867 2156 1924
866 834 708
274 1984 6
1663 178 7569
353 2145 8951
1193 1899 7410
146 1543 6532
1582 443 9101
1899 800 737
1410 149 9792
1053 2132 5725
80 17 7875
1394 1748 7117
2165 375 1418
617 115 3485
200 36 6104
1549 774 6510
384 1160 587
69 1674 8494
758 1664 1892
2214 735 7653
1784 342 9833
568 773 8922
745 1099 2514
2167 1595 4173
1123 1233 3479
101 2142 4920
1002 144 5310
1939 247 3625
1151 671 3485
8 1144 8970
1730 1407 2292
305 117 1919
916 1272 8603
55 615 7832
1824 1007 9133
17 70 5868
451 2019 8210
1202 2013 4132
195 1675 492
304 1905 9212
2023 748 2172
263 112 7298
1759 1032 4862
617 2167 251
571 1607 1946
2156 1829 9291
56 2126 6136
1774 483 8725
476 601 4756
1078 331 7494
10 1794 7842
53 599 2847
1360 2065 1718
1063 420 7338
2123 705 5561
1088 1239 8824
962 27 9918
125 672 8283
795 1964 8585
697 2045 7432
2047 953 9531
1145 929 6023
982 414 2129
227 1354 7819
2127 634 1576
1571 1777 1877
1391 596 8680
1295 1530 8561
1649 1477 5903
1904 1656 307
1799 2199 2406
1857 2132 1310
1015 1362 4529
538 747 1266
1172 1890 2709
929 442 2449
823 265 7994
641 2048 151
1365 2126 2685
836 286 8795
1595 994 9161
1639 1358 8919
706 1855 1654
2011 1867 599
408 966 2150
1091 1840 4439
1942 563 4560
1364 2132 3736
45 113 3509
1324 1664 630
624 2064 5590
1780 1174 5676
572 2081 3887
1927 318 1568
1423 879 9657
1287 2170 2739
765 540 8937
2057 1023 3914
481 1176 3665
807 917 1891
695 577 4
361 59 44
1082 1107 3285
943 1377 2771
949 1609 8668
774 1501 3687
972 1250 7043
1829 10 5082
44 1616 2885
1678 1873 8284
602 779 4451
1258 1287 7868
1580 1137 3512
2018 1279 4030
1121 432 4141
1012 17 6249
1208 1005 8068
601 31 5660
96 1448 5075
730 1048 4314
729 1236 7255
1043 780 9125
409 2130 241
1721 2106 6929
124 1482 4213
31 2204 5826
2175 1878 9176
740 742 132
719 1913 6888
943 1256 4482
160 983 9442
1191 990 6205
1993 1416 8478
900 836 845
1149 528 9847
1267 2010 9273
1398 774 1481
503 855 7264
1010 1103 3413
2185 685 9811
1582 1922 8919
2094 1885 8280
1144 1937 4726
790 2146 916
544 2137 5035
1471 1531 1782
1060 361 5603
753 778 6546
1734 747 764
1699 246 1863
884 510 2542
1215 274 5882
472 1910 5410
415 1407 4933
443 1107 9077
964 1551 1667
1878 1533 8903
1663 1317 6823
687 769 9498
2205 684 4713
1709 724 6818
997 260 3209
1209 282 71
570 1635 555
633 2078 8135
494 458 5521
74 1322 1206
186 223 6922
2161 83 8195
561 857 470
466 521 7831
1699 2090 1590
1970 1738 3309
179 2199 8982
239 18 5138
161 2114 3438
2210 1027 5919
2080 878 2571
1997 1431 5827
306 1479 3356
876 143 5706
1894 1620 3074
1783 807 9613
279 432 3923
1949 2154 2704
1676 37 6162
1231 1312 2623
2153 518 5151
890 1843 2803
154 2102 6444
1411 1504 4155
918 764 1247
310 1959 4739
214 284 4988
2083 1273 9293
1516 129 7673
1374 673 7421
2095 601 611
1145 1367 1216
163 2160 4082
859 1580 3960
1425 1232 8983
1937 1265 2483
967 1769 7729
2179 193 5570
58 1912 5409
1858 205 4915
354 1402 2967
963 1804 1935
1925 1825 2458
1823 385 5370
121 106 9861
294 239 6539
1121 1642 8699
71 259 7964
919 1094 146
584 1553 1005
2038 1687 6086
1597 729 6154
1024 499 8271
39 1786 9124
360 201 7357
1338 1570 6903
1954 181 3442
417 336 6278
144 1035 3142
2116 863 1183
1207 1524 7939
1403 1070 6364
1572 492 8464
1499 1015 704
1322 354 6223
2049 1929 3826
1449 2150 527
1341 756 5352
653 1688 3310
49 1958 9266
1692 1233 2535
241 1570 69
1628 567 7323
638 1649 297
1115 868 3343
1956 486 7235
980 1145 8600
65 1812 3578
564 417 8844
832 159 2871
874 562 5251
547 476 1703
1283 129 1743
1201 2157 8307
125 1446 5617
839 371 2790
1728 167 3718
1900 1033 1898
189 2048 1389
2209 1176 3769
941 1757 4932
380 1669 5706
1127 560 390
1618 1562 7966
284 41 3989
1961 1353 1569
528 264 2907
986 1158 8366
690 470 1880
1940 1376 400
2048 1178 4555
1609 1654 1690
1761 2029 3810
724 257 9860
946 355 3077
4 594 3159
1559 429 9284
452 1723 1851
2127 2101 1873
1089 2045 7299
1924 691 98
1238 67 4955
844 1178 2801
2131 1086 2808
799 856 8617
1960 1279 5445
1879 1958 1504
1285 61 5526
2063 1222 8291
1859 727 1872
577 87 317
1802 379 3478
113 638 1217
426 696 1114
1046 336 6365
724 721 2993
2057 449 2364
1597 1006 1729
408 493 2274
2137 1015 8631
512 708 3905
1212 430 8023
758 1697 6659
591 341 9653
813 619 3311
765 927 4124
2 868 2658
118 694 3190
1185 440 1352
668 208 1373
296 714 2236
1599 645 7138
79 1972 2425
1628 1571 7394
322 1162 6281
138 627 5309
1761 2189 4879
2093 88 9277
1886 994 8632
1976 1201 8719
659 1813 6047
1320 1223 37
478 2211 4110
248 1079 4938
1463 1742 5753
885 1637 7594
1203 625 9379
1065 796 5504
1452 355 6834
743 1037 27
1443 2161 2386
1197 417 9451
547 732 2371
558 1229 9723
1801 958 4163
1581 56 4031
708 1772 3450
1953 392 2345
1225 953 9774
1876 657 6546
991 809 2260
843 935 934
1548 1790 6293
159 759 948
616 1503 637
2059 536 5849
415 1791 3607
1880 1120 3426
812 1672 1725
1802 556 3878
274 440 9302
2126 462 605
1082 125 7832
1306 471 2821
236 513 12
1592 1768 8528
796 859 6889
1749 1346 2359
790 1025 4806
436 420 1656
16 898 2995
1818 1354 1994
1774 1454 7220
578 1794 2884
1894 1700 8572
1469 1021 4917
165 98 1205
885 292 4196
998 281 2783
1241 1704 71
400 2193 772
383 1253 6151
1383 138 6022
1458 1695 1105
681 1952 6697
1916 314 5044
2222 1399 8746
2149 1624 1020
1558 1716 6582
1306 1123 467
678 587 3264
938 1399 6909
1283 688 1956
1044 461 1485
410 1669 3208
1193 213 8908
1228 69 1058
2181 1132 694
1445 1064 7004
15 907 2332
1767 1396 4961
977 1294 7363
749 1879 5866
2082 1131 8412
77 1830 4007
1123 918 3791
1009 338 8568
1132 1287 1859
244 541 2550
567 782 2017
500 201 5738
767 1028 2482
268 1145 8913
1507 200 6848
951 434 2666
1455 1089 2715
743 1273 8387
876 72 9502
2016 431 4300
1644 975 9448
604 331 7939
973 1976 347
1521 1052 9667
348 1150 2941
1331 877 4880
229 572 297
2169 2194 7021
825 1798 8294
356 813 3212
2080 1625 2822
